,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,steiner_nodesx,steiner_nodesz,I-index,doubles,q-corr
265,,6,37,pauli_polynomial_dynamic_ordering,"[2, 1, 0, 3, 5, 4]",99,67,21,33,17,17,92,4,44
266,,6,37,pauli_polynomial_dynamic_ordering,"[2, 1, 0, 4, 3, 5]",100,73,23,37,20,16,91,5,42
267,,6,37,pauli_polynomial_dynamic_ordering,"[2, 1, 0, 5, 3, 4]",99,71,20,28,11,17,88,6,46
268,,6,37,pauli_polynomial_dynamic_ordering,"[2, 1, 0, 4, 5, 3]",105,74,25,34,14,17,97,4,41
269,,6,37,pauli_polynomial_dynamic_ordering,"[2, 1, 0, 5, 4, 3]",96,74,23,30,10,17,93,6,43
270,,6,37,pauli_polynomial_dynamic_ordering,"[3, 1, 0, 2, 4, 5]",89,72,26,46,24,18,94,2,40
271,,6,37,pauli_polynomial_dynamic_ordering,"[3, 1, 0, 2, 5, 4]",98,75,23,41,19,19,91,3,44
272,,6,37,pauli_polynomial_dynamic_ordering,"[4, 1, 0, 2, 3, 5]",106,73,26,43,21,25,97,3,39
273,,6,37,pauli_polynomial_dynamic_ordering,"[5, 1, 0, 2, 3, 4]",91,64,26,42,19,20,97,4,39
274,,6,37,pauli_polynomial_dynamic_ordering,"[4, 1, 0, 2, 5, 3]",96,72,24,40,15,26,91,4,44
275,,6,37,pauli_polynomial_dynamic_ordering,"[5, 1, 0, 2, 4, 3]",94,65,27,44,18,20,94,4,40
276,,6,37,pauli_polynomial_dynamic_ordering,"[3, 1, 0, 4, 2, 5]",100,74,27,45,24,17,96,1,39
277,,6,37,pauli_polynomial_dynamic_ordering,"[3, 1, 0, 5, 2, 4]",100,77,23,40,16,18,93,2,43
278,,6,37,pauli_polynomial_dynamic_ordering,"[4, 1, 0, 3, 2, 5]",103,76,26,43,23,24,99,2,38
279,,6,37,pauli_polynomial_dynamic_ordering,"[5, 1, 0, 3, 2, 4]",97,73,27,46,22,19,103,1,36
280,,6,37,pauli_polynomial_dynamic_ordering,"[4, 1, 0, 5, 2, 3]",98,68,26,43,14,29,101,3,39
281,,6,37,pauli_polynomial_dynamic_ordering,"[5, 1, 0, 4, 2, 3]",111,81,31,51,21,23,108,1,33
282,,6,37,pauli_polynomial_dynamic_ordering,"[3, 1, 0, 4, 5, 2]",92,69,25,40,19,16,95,2,42
283,,6,37,pauli_polynomial_dynamic_ordering,"[3, 1, 0, 5, 4, 2]",103,74,24,40,16,16,95,2,42
284,,6,37,pauli_polynomial_dynamic_ordering,"[4, 1, 0, 3, 5, 2]",110,76,22,38,18,23,90,3,45
285,,6,37,pauli_polynomial_dynamic_ordering,"[5, 1, 0, 3, 4, 2]",95,69,24,46,22,17,93,3,41
286,,6,37,pauli_polynomial_dynamic_ordering,"[4, 1, 0, 5, 3, 2]",108,76,24,41,15,27,98,3,41
287,,6,37,pauli_polynomial_dynamic_ordering,"[5, 1, 0, 4, 3, 2]",96,70,27,49,22,21,101,3,37
288,,6,37,pauli_polynomial_dynamic_ordering,"[2, 3, 0, 1, 4, 5]",112,77,28,48,22,22,101,2,37
289,,6,37,pauli_polynomial_dynamic_ordering,"[2, 3, 0, 1, 5, 4]",105,71,26,43,17,23,102,2,39
290,,6,37,pauli_polynomial_dynamic_ordering,"[2, 4, 0, 1, 3, 5]",107,76,26,44,20,15,93,1,41
291,,6,37,pauli_polynomial_dynamic_ordering,"[2, 5, 0, 1, 3, 4]",88,61,21,31,11,19,86,4,47
292,,6,37,pauli_polynomial_dynamic_ordering,"[2, 4, 0, 1, 5, 3]",97,68,27,41,14,16,99,2,40
293,,6,37,pauli_polynomial_dynamic_ordering,"[2, 5, 0, 1, 4, 3]",95,65,24,33,10,19,91,5,44
294,,6,37,pauli_polynomial_dynamic_ordering,"[3, 2, 0, 1, 4, 5]",100,70,29,50,21,24,102,3,36
295,,6,37,pauli_polynomial_dynamic_ordering,"[3, 2, 0, 1, 5, 4]",109,70,28,45,16,25,103,3,38
296,,6,37,pauli_polynomial_dynamic_ordering,"[4, 2, 0, 1, 3, 5]",103,72,25,44,20,17,89,2,43
297,,6,37,pauli_polynomial_dynamic_ordering,"[5, 2, 0, 1, 3, 4]",111,76,23,36,16,20,85,4,45
298,,6,37,pauli_polynomial_dynamic_ordering,"[4, 2, 0, 1, 5, 3]",97,71,25,41,14,18,95,3,42
299,,6,37,pauli_polynomial_dynamic_ordering,"[5, 2, 0, 1, 4, 3]",111,77,24,38,15,20,90,5,42
300,,6,37,pauli_polynomial_dynamic_ordering,"[3, 4, 0, 1, 2, 5]",97,64,25,39,18,18,94,5,40
301,,6,37,pauli_polynomial_dynamic_ordering,"[3, 5, 0, 1, 2, 4]",99,71,24,39,12,22,95,4,42
302,,6,37,pauli_polynomial_dynamic_ordering,"[4, 3, 0, 1, 2, 5]",96,63,23,37,19,18,89,5,43
303,,6,37,pauli_polynomial_dynamic_ordering,"[5, 3, 0, 1, 2, 4]",102,78,24,42,18,21,93,3,41
304,,6,37,pauli_polynomial_dynamic_ordering,"[4, 5, 0, 1, 2, 3]",110,75,27,45,16,27,103,4,38
305,,6,37,pauli_polynomial_dynamic_ordering,"[5, 4, 0, 1, 2, 3]",97,68,29,50,21,26,106,3,34
306,,6,37,pauli_polynomial_dynamic_ordering,"[3, 4, 0, 1, 5, 2]",89,67,26,34,13,17,95,4,42
307,,6,37,pauli_polynomial_dynamic_ordering,"[3, 5, 0, 1, 4, 2]",106,77,26,39,12,20,95,3,42
308,,6,37,pauli_polynomial_dynamic_ordering,"[4, 3, 0, 1, 5, 2]",88,66,22,32,14,17,90,4,45
309,,6,37,pauli_polynomial_dynamic_ordering,"[5, 3, 0, 1, 4, 2]",105,76,25,42,18,19,93,2,41
310,,6,37,pauli_polynomial_dynamic_ordering,"[4, 5, 0, 1, 3, 2]",101,70,26,43,17,25,98,2,41
311,,6,37,pauli_polynomial_dynamic_ordering,"[5, 4, 0, 1, 3, 2]",93,67,29,48,22,24,101,1,37
312,,6,37,pauli_polynomial_dynamic_ordering,"[2, 3, 0, 4, 1, 5]",97,71,28,49,23,20,103,2,36
313,,6,37,pauli_polynomial_dynamic_ordering,"[2, 3, 0, 5, 1, 4]",106,75,25,41,14,25,100,3,40
314,,6,37,pauli_polynomial_dynamic_ordering,"[2, 4, 0, 3, 1, 5]",111,81,25,46,23,13,95,1,40
315,,6,37,pauli_polynomial_dynamic_ordering,"[2, 5, 0, 3, 1, 4]",98,69,21,34,14,21,88,3,46
316,,6,37,pauli_polynomial_dynamic_ordering,"[2, 4, 0, 5, 1, 3]",94,73,25,40,14,15,97,2,41
